scraped_at,source,property_type,district_name,listing_count,total_market_value_czk,average_asking_price_czk,median_asking_price_czk,median_price_per_m2_czk,average_area_m2
2026-04-23 13:31:01.178533,sreality,byty,Žižkov,261,3020806424.0,11573970.973180076,9994902.0,178826.92,67.02298850574712
2026-04-23 13:31:01.178533,sreality,domy,Benice,4,76450000.0,25483333.333333332,31600000.0,112264.15,269.25
2026-04-23 13:31:01.178533,sreality,domy,Bohnice,2,30480000.0,15240000.0,15240000.0,99407.595,154.0
2026-04-23 13:31:01.178533,sreality,domy,Braník,9,222880000.0,37146666.666666664,36495000.0,108080.81,338.44444444444446
2026-04-23 13:31:01.178533,sreality,domy,Bubeneč,1,69860000.0,69860000.0,69860000.0,174650.0,400.0
2026-04-23 13:31:01.178533,sreality,domy,Běchovice,5,64389000.0,16097250.0,15995000.0,105521.42,160.6
2026-04-23 13:31:01.178533,sreality,domy,Břevnov,5,200568000.0,40113600.0,27400000.0,125343.92,274.0
2026-04-23 13:31:01.178533,sreality,domy,Březiněves,9,147234240.0,21033462.85714286,17970240.0,113584.42,233.0
2026-04-23 13:31:01.178533,sreality,domy,Chodov,10,280901951.0,28090195.1,27930750.0,133665.29,217.2
2026-04-23 13:31:01.178533,sreality,domy,Cholupice,4,79388200.0,19847050.0,21195000.0,116685.575,174.25
2026-04-23 13:31:01.178533,sreality,domy,Dejvice,18,505170000.0,33678000.0,29385000.0,166666.67,268.72222222222223
2026-04-23 13:31:01.178533,sreality,domy,Dolní Chabry,6,116055000.0,19342500.0,20355000.0,119402.175,181.5
2026-04-23 13:31:01.178533,sreality,domy,Dolní Měcholupy,15,263564000.0,18826000.0,18930000.0,124653.64,160.26666666666668
2026-04-23 13:31:01.178533,sreality,domy,Dolní Počernice,2,38389999.0,19194999.5,19194999.5,71276.985,270.0
2026-04-23 13:31:01.178533,sreality,domy,Dubeč,11,74868000.0,7486800.0,5472000.0,139592.14,69.0
2026-04-23 13:31:01.178533,sreality,domy,Hloubětín,4,76400000.0,25466666.666666668,34900000.0,185638.3,210.25
2026-04-23 13:31:01.178533,sreality,domy,Hlubočepy,16,642370000.0,40148125.0,38490000.0,167653.85,262.3125
2026-04-23 13:31:01.178533,sreality,domy,Hodkovičky,4,28231500.0,28231500.0,28231500.0,141157.5,312.0
2026-04-23 13:31:01.178533,sreality,domy,Holešovice,1,2500000.0,2500000.0,2500000.0,83333.33,30.0
2026-04-23 13:31:01.178533,sreality,domy,Holyně,1,2500000.0,2500000.0,2500000.0,86206.9,29.0
2026-04-23 13:31:01.178533,sreality,domy,Horní Měcholupy,1,0.0,,,,157.0
2026-04-23 13:31:01.178533,sreality,domy,Horní Počernice,21,395270599.0,20803715.736842107,18500000.0,108944.95,240.38095238095238
2026-04-23 13:31:01.178533,sreality,domy,Hostavice,6,101500000.0,16916666.666666668,14605000.0,104671.525,166.66666666666666
2026-04-23 13:31:01.178533,sreality,domy,Hostivař,12,323821920.0,26985160.0,26990000.0,113966.16500000001,225.75
2026-04-23 13:31:01.178533,sreality,domy,Hrdlořezy,5,39820000.0,9955000.0,10095000.0,165750.0,121.0
2026-04-23 13:31:01.178533,sreality,domy,Háje,7,144230000.0,20604285.714285713,19990000.0,93589.74,223.14285714285714
2026-04-23 13:31:01.178533,sreality,domy,Jinonice,2,72200000.0,36100000.0,36100000.0,155870.76,227.0
2026-04-23 13:31:01.178533,sreality,domy,Kamýk,2,115900000.0,57950000.0,57950000.0,84017.48999999999,666.0
2026-04-23 13:31:01.178533,sreality,domy,Kbely,8,106819000.0,17803166.666666668,17700000.0,98477.78,203.875
2026-04-23 13:31:01.178533,sreality,domy,Klánovice,14,309319000.0,23793769.230769232,23900000.0,121724.64,213.28571428571428
2026-04-23 13:31:01.178533,sreality,domy,Kobylisy,9,177930000.0,25418571.42857143,26900000.0,109655.17,217.33333333333334
2026-04-23 13:31:01.178533,sreality,domy,Koloděje,7,126069000.0,21011500.0,19320000.0,116187.5,188.42857142857142
2026-04-23 13:31:01.178533,sreality,domy,Kolovraty,10,199780000.0,22197777.777777776,20990000.0,108695.65,220.9
2026-04-23 13:31:01.178533,sreality,domy,Komořany,2,116000000.0,58000000.0,58000000.0,154805.195,472.5
2026-04-23 13:31:01.178533,sreality,domy,Košíře,8,201380000.0,28768571.42857143,28490000.0,125816.99,228.5
2026-04-23 13:31:01.178533,sreality,domy,Královice,7,123189000.0,17598428.57142857,16400000.0,119685.04,167.57142857142858
2026-04-23 13:31:01.178533,sreality,domy,Krč,3,80840000.0,26946666.666666668,24990000.0,108371.04,260.3333333333333
2026-04-23 13:31:01.178533,sreality,domy,Kunratice,14,450750000.0,37562500.0,31695000.0,99985.285,419.07142857142856
2026-04-23 13:31:01.178533,sreality,domy,Kyje,20,398607800.0,19930390.0,17690000.0,118383.1,181.8
2026-04-23 13:31:01.178533,sreality,domy,Křeslice,2,29500000.0,29500000.0,29500000.0,29500.0,548.0
2026-04-23 13:31:01.178533,sreality,domy,Lahovice,2,38700000.0,19350000.0,19350000.0,92992.535,217.0
2026-04-23 13:31:01.178533,sreality,domy,Letňany,5,89127800.0,22281950.0,20343900.0,129501.20000000001,213.6
2026-04-23 13:31:01.178533,sreality,domy,Lhotka,3,75500000.0,37750000.0,37750000.0,95022.64499999999,337.0
2026-04-23 13:31:01.178533,sreality,domy,Libeň,8,82750000.0,20687500.0,16225000.0,147291.66499999998,174.75
2026-04-23 13:31:01.178533,sreality,domy,Liboc,2,0.0,,,,306.0
2026-04-23 13:31:01.178533,sreality,domy,Libuš,11,295849000.0,32872111.111111112,29500000.0,112115.38,333.09090909090907
2026-04-23 13:31:01.178533,sreality,domy,Lipany,1,17950000.0,17950000.0,17950000.0,130072.46,138.0
2026-04-23 13:31:01.178533,sreality,domy,Lipence,10,132680000.0,14742222.222222222,13690000.0,70000.0,259.8
2026-04-23 13:31:01.178533,sreality,domy,Lochkov,5,95846500.0,19169300.0,16999000.0,82921.95,251.4
2026-04-23 13:31:01.178533,sreality,domy,Lysolaje,12,268140000.0,33517500.0,33000000.0,158032.255,395.75
2026-04-23 13:31:01.178533,sreality,domy,Malešice,5,116940000.0,29235000.0,25995000.0,182336.54499999998,192.6
2026-04-23 13:31:01.178533,sreality,domy,Michle,7,165258000.0,23608285.714285713,25990000.0,101921.57,239.42857142857142
2026-04-23 13:31:01.178533,sreality,domy,Miškovice,7,92325070.0,18465014.0,18497945.0,115612.16,163.42857142857142
2026-04-23 13:31:01.178533,sreality,domy,Modřany,19,450129000.0,28133062.5,26695000.0,148391.66499999998,238.73684210526315
2026-04-23 13:31:01.178533,sreality,domy,Motol,2,32900000.0,32900000.0,32900000.0,83291.14,345.0
2026-04-23 13:31:01.178533,sreality,domy,Nebušice,10,262746816.0,26274681.6,25123408.0,128043.965,253.9
2026-04-23 13:31:01.178533,sreality,domy,Nedvězí u Říčan,1,17750000.0,17750000.0,17750000.0,149159.66,119.0
2026-04-23 13:31:01.178533,sreality,domy,Nusle,2,28700000.0,28700000.0,28700000.0,131651.38,337.0
2026-04-23 13:31:01.178533,sreality,domy,Petrovice,1,13900000.0,13900000.0,13900000.0,144791.67,96.0
2026-04-23 13:31:01.178533,sreality,domy,Pitkovice,5,128004000.0,25600800.0,24950000.0,135909.09,199.4
2026-04-23 13:31:01.178533,sreality,domy,Podolí,3,88990000.0,44495000.0,44495000.0,97033.805,631.3333333333334
2026-04-23 13:31:01.178533,sreality,domy,Praha - Ostatní,5,0.0,,,,744.4
2026-04-23 13:31:01.178533,sreality,domy,Praha 1,3,4380000.0,1460000.0,1200000.0,171428.57,11.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 12,1,12499000.0,12499000.0,12499000.0,104158.33,120.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 13,2,1364000000.0,682000000.0,682000000.0,2774222.22,170.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 15,1,15995000.0,15995000.0,15995000.0,126944.44,126.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 16,3,49070000.0,16356666.666666666,16390000.0,148532.11,110.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 17,1,17285000.0,17285000.0,17285000.0,120874.13,143.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 18,2,36300000.0,18150000.0,18150000.0,159210.53,114.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 22,1,22850000.0,22850000.0,22850000.0,55596.11,411.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 23,1,23750000.0,23750000.0,23750000.0,107954.55,220.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 24,1,24000000.0,24000000.0,24000000.0,133333.33,180.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 26,2,53400000.0,26700000.0,26700000.0,94261.36499999999,310.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 29,1,29385000.0,29385000.0,29385000.0,198547.3,148.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 3,2,7475000.0,3737500.0,3737500.0,164642.85499999998,23.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 31,1,31900000.0,31900000.0,31900000.0,87397.26,365.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 4,2,923000000.0,461500000.0,461500000.0,1062877.07,496.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 599,1,599000.0,599000.0,599000.0,37437.5,16.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 6,2,630000000.0,630000000.0,630000000.0,2592592.59,495.5
2026-04-23 13:31:01.178533,sreality,domy,Praha 8,1,855000000.0,855000000.0,855000000.0,1050368.55,814.0
2026-04-23 13:31:01.178533,sreality,domy,Praha 9,1,917595000.0,917595000.0,917595000.0,6416748.25,143.0
2026-04-23 13:31:01.178533,sreality,domy,Praha-Vinoř,1,19990000.0,19990000.0,19990000.0,102512.82,195.0
2026-04-23 13:31:01.178533,sreality,domy,Praha-Ďáblice,2,36800000.0,18400000.0,18400000.0,134935.285,137.5
2026-04-23 13:31:01.178533,sreality,domy,Prosek,7,103579000.0,17263166.666666668,15945000.0,116451.25,157.85714285714286
2026-04-23 13:31:01.178533,sreality,domy,Písnice,4,91440000.0,30480000.0,29990000.0,84863.95,310.0
2026-04-23 13:31:01.178533,sreality,domy,Přední Kopanina,5,58530000.0,11706000.0,12600000.0,100800.0,143.0
2026-04-23 13:31:01.178533,sreality,domy,Radotín,14,284109000.0,21854538.46153846,18500000.0,112903.23,254.0
2026-04-23 13:31:01.178533,sreality,domy,Ruzyně,9,155400000.0,22200000.0,21980000.0,87375.0,231.33333333333334
2026-04-23 13:31:01.178533,sreality,domy,Satalice,13,250053999.0,19234923.0,19490000.0,121181.1,170.07692307692307
2026-04-23 13:31:01.178533,sreality,domy,Sedlec,3,3579000.0,1193000.0,1200000.0,28523.81,31.666666666666668
2026-04-23 13:31:01.178533,sreality,domy,Slivenec,9,202268000.0,25283500.0,27244500.0,96758.75,199.77777777777777
2026-04-23 13:31:01.178533,sreality,domy,Smíchov,16,587370000.0,36710625.0,38400000.0,139219.52000000002,270.625
2026-04-23 13:31:01.178533,sreality,domy,Staré Město,1,69000000.0,69000000.0,69000000.0,196022.73,352.0
2026-04-23 13:31:01.178533,sreality,domy,Stodůlky,14,348227900.0,26786761.53846154,28499000.0,110230.77,243.78571428571428
2026-04-23 13:31:01.178533,sreality,domy,Strašnice,17,381620000.0,22448235.29411765,21500000.0,148353.66,152.7058823529412
2026-04-23 13:31:01.178533,sreality,domy,Střešovice,6,101290000.0,33763333.333333336,34900000.0,176262.63,215.16666666666666
